"Context","English","Gibberish","French","Spanish","German","Korean","BrazilianPortuguese","SimplifedChinese","Russian","Italian","Portuguese","Hungarian","Japanese","Norwegian","Polish","Dutch","Romanian","Danish","Czech","Swedish","Ukrainian","Greek","Arabic","Vietnamese","","","","","","","","","","","","","","",""
"","Double Limestone Arch","","","","","","","","Большая арка из известняка","","","","","","","","","","","","","","",""
"","Arch - Large Limestone Arch","","","","","","","","Арка - Большая арка из известняка","","","","","","","","","","","","","","",""
"","Double Mortaredstone Arch","","","","","","","","Большая арка из строительного камня","","","","","","","","","","","","","","",""
"","Arch - Large Mortaredstone Arch","","","","","","","","Арка - Большая арка из строительного камня","","","","","","","","","","","","","","",""
"","Double Sandstone Arch","","","","","","","","Большая арка из песчаника","","","","","","","","","","","","","","",""
"","Arch - Large Sandstone Arch","","","","","","","","Арка - Большая арка из песчаника","","","","","","","","","","","","","","",""
"","Double Stone Arch","","","","","","","","Большая арка из камня","","","","","","","","","","","","","","",""
"","Arch - Large Stone Arch","","","","","","","","Арка - Большая арка из камня","","","","","","","","","","","","","","",""
"","Granite Arch","","","","","","","","Малая арка из гранита","","","","","","","","","","","","","","",""
"","Arch - Granite","","","","","","","","Арка - Гранит","","","","","","","","","","","","","","",""
"","Limestone Arch","","","","","","","","Малая арка из известняка","","","","","","","","","","","","","","",""
"","Arch - Limestone","","","","","","","","Арка - Известняк","","","","","","","","","","","","","","",""
"","Mortaredstone Arch","","","","","","","","Малая арка из строительного камня","","","","","","","","","","","","","","",""
"","Arch - Mortaredstone","","","","","","","","Арка - Строительный камень","","","","","","","","","","","","","","",""
"","Sandstone Arch","","","","","","","","Малая арка из песчаника","","","","","","","","","","","","","","",""
"","Arch - Sandstone","","","","","","","","Арка - Песчаник","","","","","","","","","","","","","","",""
"","Stone Arch","","","","","","","","Малая арка из гранита","","","","","","","","","","","","","","",""
"","Arch - Stone","","","","","","","","Арка - Камень","","","","","","","","","","","","","","",""
"","Double Great Hall Door","","","","","","","","Большая двойная дверь в дом","","","","","","","","","","","","","","",""
"","A Giant Set Of Doors For Decorative Halls. Can be locked for certain players.","","","","","","","","Набор из двух больших декоративных дверей для дома. Можно заблокировать от определённых игроков.","","","","","","","","","","","","","","",""
"","Great Hall Door - Double","","","","","","","","Большая двойная дверь в дом - Двойная","","","","","","","","","","","","","","",""
"","Elevator Door","","","","","","","","Дверь в лифт","","","","","","","","","","","","","","",""
"","A Set Of Elevator Doors. Can be locked for certain players.","","","","","","","","Двери для лифта.Можно заблокировать от определённых игроков.","","","","","","","","","","","","","","",""
"","Great Hall Door","","","","","","","","Большая одиночная дверь в дом","","","","","","","","","","","","","","",""
"","A Giant Door For Decorative Halls. Can be locked for certain players","","","","","","","","Одна большая декоративная дверь для дома. Можно заблокировать от определённых игроков.","","","","","","","","","","","","","","",""
"","Sliding Door","","","","","","","","Раздвижная дверь","","","","","","","","","","","","","","",""
"","A Sliding Glass Door. Can be locked for certain players.","","","","","","","","Раздвижная стеклянная дверь.Можно заблокировать от определённых игроков.","","","","","","","","","","","","","","",""
"","Bucket Of Water","","","","","","","","Ведро воды","","","","","","","","","","","","","","",""
"","A Bucket of water..","","","","","","","","Ведро воды...","","","","","","","","","","","","","","",""
"","Bucket","","","","","","","","Ведро","","","","","","","","","","","","","","",""
"","A Bucket for holding water in..","","","","","","","","Ведро для воды...","","","","","","","","","","","","","","",""
"","Purple Dye","","","","","","","","Фиолетовый краситель","","","","","","","","","","","","","","",""
"","Green Dye","","","","","","","","Зелёный краситель","","","","","","","","","","","","","","",""
"","Red Dye","","","","","","","","Красный краситель","","","","","","","","","","","","","","",""
"","Blue Dye","","","","","","","","Синий краситель","","","","","","","","","","","","","","",""
"","Black Dye","","","","","","","","Чёрный краситель","","","","","","","","","","","","","","",""
"","Grey Dye","","","","","","","","Серый краситель","","","","","","","","","","","","","","",""
"","Yellow Dye","","","","","","","","Жёлтый краситель","","","","","","","","","","","","","","",""
"","Brown Dye","","","","","","","","Коричневый краситель","","","","","","","","","","","","","","",""
"","Orange Dye","","","","","","","","Оранжевый краситель","","","","","","","","","","","","","","",""
"","Purple Dye Used for Dying Certain Items.","","","","","","","","Фиолетовый краситель, использующийся в покраске.","","","","","","","","","","","","","","",""
"","Green Dye Used for Dying Certain Items.","","","","","","","","Зелёный краситель, использующийся в покраске.","","","","","","","","","","","","","","",""
"","Red Dye Used for Dying Certain Items.","","","","","","","","Красный краситель, использующийся в покраске.","","","","","","","","","","","","","","",""
"","Blue Dye Used for Dying Certain Items.","","","","","","","","Синий краситель, использующийся в покраске.","","","","","","","","","","","","","","",""
"","Black Dye Used for Dying Certain Items.","","","","","","","","Чёрный краситель, использующийся в покраске.","","","","","","","","","","","","","","",""
"","Grey Dye Used for Dying Certain Items.","","","","","","","","Серый краситель, использующийся в покраске.","","","","","","","","","","","","","","",""
"","Yellow Dye Used for Dying Certain Items.","","","","","","","","Жёлтый краситель, использующийся в покраске.","","","","","","","","","","","","","","",""
"","Brown Dye Used for Dying Certain Items.","","","","","","","","Коричневый краситель, использующийся в покраске.","","","","","","","","","","","","","","",""
"","Orange Dye Used for Dying Certain Items.","","","","","","","","Оранжевый краситель, использующийся в покраске.","","","","","","","","","","","","","","",""
"","Dye - Purple","","","","","","","","Краситель - Фиолетовый","","","","","","","","","","","","","","",""
"","Dye - Green","","","","","","","","Краситель - Зелёный","","","","","","","","","","","","","","",""
"","Dye - Red","","","","","","","","Краситель - Красный","","","","","","","","","","","","","","",""
"","Dye - Blue","","","","","","","","Краситель - Синий","","","","","","","","","","","","","","",""
"","Dye - Black","","","","","","","","Краситель - Чёрный","","","","","","","","","","","","","","",""
"","Dye - Grey","","","","","","","","Краситель - Серый","","","","","","","","","","","","","","",""
"","Dye - Yellow","","","","","","","","Краситель - Жёлтый","","","","","","","","","","","","","","",""
"","Dye - Brown","","","","","","","","Краситель - Коричневый","","","","","","","","","","","","","","",""
"","Dye - Orange","","","","","","","","Краситель - Оранжевый","","","","","","","","","","","","","","",""
"","Dye Table","","","","","","","","Стол для создания красителя","","","","","","","","","","","","","","",""
"","A Table Used To Create Dyes.","","","","","","","","Поможет разукрасить вашу жизнь","","","","","","","","","","","","","","",""
"","Hand Water Pump","","","","","","","","Водяная колонка","","","","","","","","","","","","","","",""
"","A Hand pump used for gathering water.","","","","","","","","Вспомни вкус детства","","","","","","","","","","","","","","",""
"","Double Wood Door","","","","","","","","Красивая двойная деревянная дверь","","","","","","","","","","","","","","",""
"","A Double Wooden Door.","","","","","","","","Дверь мне запили ....","","","","","","","","","","","","","","",""
"","Elegant Door","","","","","","","","Элегантная дверь","","","","","","","","","","","","","","",""
"","An Elegant Style Door.","","","","","","","","Элегантная дверь с маленьким окошком","","","","","","","","","","","","","","",""
"","Stained Glass Door","","","","","","","","Стеклянная дверь","","","","","","","","","","","","","","",""
"","A Beautiful Stained Glass Style Door.","","","","","","","","Красивая стеклянная дверь с узором","","","","","","","","","","","","","","",""
"","Stained Glass Double Door","","","","","","","","Двойная стеклянная дверь","","","","","","","","","","","","","","",""
"","A Beautiful Double Stained Glass Door.","","","","","","","","Красивая двойная стеклянная дверь с узором","","","","","","","","","","","","","","",""
"","Bed Frame","","","","","","","","Каркас кровати","","","","","","","","","","","","","","",""
"","A Bed Frame For The Kings Bed","","","","","","","","Каркас для большой кровати","","","","","","","","","","","","","","",""
"","Kings Bed","","","","","","","","Большая кровать","","","","","","","","","","","","","","",""
"","A Big Beautiful King Sized Bed Fit For a King.","","","","","","","","Красивая большая кровать для короля и королевы","","","","","","","","","","","","","","",""
"","Painting of Clouds","","","","","","","","Картина с облаками","","","","","","","","","","","","","","",""
"","A Beautiful Painting of the clouds.","","","","","","","","Там, короче, облако и олень","","","","","","","","","","","","","","",""
"","Painting of Mountains","","","","","","","","Картина с горами","","","","","","","","","","","","","","",""
"","A Small Painting of some Mountains.","","","","","","","","Картина из геометрических фигур","","","","","","","","","","","","","","",""
"","Bedroom Chest","","","","","","","","Сундук для спальни","","","","","","","","","","","","","","",""
"","A Chest For Storing your personal items.","","","","","","","","Сундук в спальню для хранения вещичек","","","","","","","","","","","","","","",""
"","Bedroom Dresser","","","","","","","","Большой шкаф для спальни","","","","","","","","","","","","","","",""
"","A Large Dresser for storing your clothes","","","","","","","","Большой шкаф для хранения одежды","","","","","","","","","","","","","","",""
"","Bedroom Small Dresser","","","","","","","","Малый шкаф для спальни","","","","","","","","","","","","","","",""
"","A Small Dresser for Storing your Clothes","","","","","","","","Малый шкаф для хранения одежды","","","","","","","","","","","","","","",""
"","Metal Sliding Window","","","","","","","","Металлическое раздвижное стекло","","","","","","","","","","","","","","",""
"","A horizontal sliding window made out of metal and glass.","","","","","","","","Горизонтальное раздвижное стекло из металла и стекла","","","","","","","","","","","","","","",""
"","Wooden Sliding Window","","","","","","","","Деревянное раздвижное стекло","","","","","","","","","","","","","","",""
"","A vertical sliding window made out of wood and glass. Could be used as a shop window?","","","","","","","","Вертикальное раздвижное стекло из дерева и стекла","","","","","","","","","","","","","","",""
"","ClaysTK Flag","","","","","","","","Флаг","","","","","","","","","","","","","","",""
"","A piece of fabric with ClaysTK Logo on it.","","","","","","","","Флаг с логотипом и ссылкой на разработчика флага","","","","","","","","","","","","","","",""
"","Ahead Sign","","","","","","","","Знак Впереди","","","","","","","","","","","","","","",""
"","Sign For Something Ahead.","","","","","","","","Впереди что-то явно есть","","","","","","","","","","","","","","",""
"","Bench","","","","","","","","Парковая скамейка","","","","","","","","","","","","","","",""
"","A Beautiful Parck Bench.","","","","","","","","Прекрасная парковая скамья со спинкой","","","","","","","","","","","","","","",""
"","Park Bench","","","","","","","","Парковая скамейка","","","","","","","","","","","","","","",""
"","Crossing Roadline","","","","","","","","Полоса для обозначения дороги","","","","","","","","","","","","","","",""
"","A Line Used For marking roads.","","","","","","","","Линия для разметки или обозначения дороги","","","","","","","","","","","","","","",""
"","Roadline - Crossing","","","","","","","","Дорожная разметка","","","","","","","","","","","","","","",""
"","Customer Parking Sign","","","","","","","","Знак Парковка","","","","","","","","","","","","","","",""
"","A Customer Parking Sign.","","","","","","","","Знак для обозначения парковочных мест","","","","","","","","","","","","","","",""
"","Double Roadline","","","","","","","","Двойная сплошная разметка","","","","","","","","","","","","","","",""
"","A Double Line Used For marking roads.","","","","","","","","Двойная сплошная полоса, для разметки дороги","","","","","","","","","","","","","","",""
"","Roadline - Double","","","","","","","","Двойная сплошная разметка","","","","","","","","","","","","","","",""
"","Diagonal Roadline","","","","","","","","Диагональная дорожная разметка","","","","","","","","","","","","","","",""
"","A Line Used For marking roads.","","","","","","","","Диагональная полоса, для разметки дороги","","","","","","","","","","","","","","",""
"","Diagonal Roadline","","","","","","","","Диагональная дорожная разметка","","","","","","","","","","","","","","",""
"","Dual Arrow","","","","","","","","Двойная указательная стрелка","","","","","","","","","","","","","","",""
"","An arrow for directing traffic.","","","","","","","","Двойная указательная стрелка для направления движения","","","","","","","","","","","","","","",""
"","Road Arrow - Dual","","","","","","","","Двойная указательная стрелка","","","","","","","","","","","","","","",""
"","Forward Arrow","","","","","","","","Стрелка вперёд","","","","","","","","","","","","","","",""
"","Road Arrow - Forward","","","","","","","","Стрелка вперёд","","","","","","","","","","","","","","",""
"","Left Arrow","","","","","","","","Стрелка налево","","","","","","","","","","","","","","",""
"","Road Arrow - Left","","","","","","","","Стрелка налево","","","","","","","","","","","","","","",""
"","Keep Left Sign","","","","","","","","Знак Держитесь левее","","","","","","","","","","","","","","",""
"","A Keep Left Sign.","","","","","","","","Придерживайтесь левой стороны","","","","","","","","","","","","","","",""
"","Keep Left Sign","","","","","","","","Знак Держитесь левее","","","","","","","","","","","","","","",""
"","No Entry Sign","","","","","","","","Знак Въезд запрещён","","","","","","","","","","","","","","",""
"","Sign For No Entry.","","","","","","","","Знак Въезд запрещён","","","","","","","","","","","","","","",""
"","Ramp Roadline","","","","","","","","Дорожная разметка для рампы","","","","","","","","","","","","","","",""
"","Right Arrow","","","","","","","","Стрелка направо","","","","","","","","","","","","","","",""
"","Road Arrow - Right","","","","","","","","Стрелка направо","","","","","","","","","","","","","","",""
"","Keep Right Sign","","","","","","","","Знак Держитесь правее","","","","","","","","","","","","","","",""
"","A Keep right Sign","","","","","","","","Придерживайтесь правой стороны","","","","","","","","","","","","","","",""
"","Road Barricade","","","","","","","","Деревянная баррикада","","","","","","","","","","","","","","",""
"","A Barricade for blocking off roads.","","","","","","","","Деревянная баррикада для блокировки","","","","","","","","","","","","","","",""
"","Roadline","","","","","","","","Полоса для создания разметки","","","","","","","","","","","","","","",""
"","Metal Barrier","","","","","","","","Металлический барьер","","","","","","","","","","","","","","",""
"","A Metal Barrier To Work as A Boundry.","","","","","","","","Металлический барьер, используется как отбойник на дорогах","","","","","","","","","","","","","","",""
"","Stop Sign","","","","","","","","Знак СТОП","","","","","","","","","","","","","","",""
"","A Stop Sign","","","","","","","","Обязывает совершить остановку перед знаком","","","","","","","","","","","","","","",""
"","Traffic Cone","","","","","","","","Конус","","","","","","","","","","","","","","",""
"","A Traffic Cone","","","","","","","","Вроде конус","","","","","","","","","","","","","","",""
"","Water Tank Barrier","","","","","","","","Красный переносной барьер","","","","","","","","","","","","","","",""
"","A Water Tank Style Barrier.","","","","","","","","Красный барьер наполненный водой для ограничения движения","","","","","","","","","","","","","","",""
"","White Water Tank Barrier","","","","","","","","Белый переносной барьер","","","","","","","","","","","","","","",""
"","A White Water Tank Type Barrier.","","","","","","","","Белый барьер наполненный водой для ограничения движения","","","","","","","","","","","","","","",""
"","Water Tank Barrier - White","","","","","","","","Белый переносной барьер","","","","","","","","","","","","","","",""
"","Black Glass","","","","","","","","Чёрное стекло","","","","","","","","","","","","","","",""
"","Blue Glass","","","","","","","","Синее стекло","","","","","","","","","","","","","","",""
"","Brown Glass","","","","","","","","Коричневое стекло","","","","","","","","","","","","","","",""
"","Green Glass","","","","","","","","Зелёное стекло","","","","","","","","","","","","","","",""
"","Grey Glass","","","","","","","","Серое стекло","","","","","","","","","","","","","","",""
"","Orange Glass","","","","","","","","Оранжевое стекло","","","","","","","","","","","","","","",""
"","Purple Glass","","","","","","","","Фиолетовое стекло","","","","","","","","","","","","","","",""
"","Red Glass","","","","","","","","Красное стекло","","","","","","","","","","","","","","",""
"","Yellow Glass","","","","","","","","Жёлтое стекло","","","","","","","","","","","","","","",""
"","A Black Glass used for building windows.","","","","","","","","Используется для создания окон и как строительный материал","","","","","","","","","","","","","","",""
"","A Blue Glass used for building windows.","","","","","","","","Используется для создания окон и как строительный материал","","","","","","","","","","","","","","",""
"","A Brown Glass used for building windows.","","","","","","","","Используется для создания окон и как строительный материал","","","","","","","","","","","","","","",""
"","A Green Glass used for building windows.","","","","","","","","Используется для создания окон и как строительный материал","","","","","","","","","","","","","","",""
"","A Grey Glass used for building windows.","","","","","","","","Используется для создания окон и как строительный материал","","","","","","","","","","","","","","",""
"","A Orange Glass used for building windows.","","","","","","","","Используется для создания окон и как строительный материал","","","","","","","","","","","","","","",""
"","A Purple Glass used for building windows.","","","","","","","","Используется для создания окон и как строительный материал","","","","","","","","","","","","","","",""
"","A Red Glass used for building windows.","","","","","","","","Используется для создания окон и как строительный материал","","","","","","","","","","","","","","",""
"","A Yellow Glass used for building windows.","","","","","","","","Используется для создания окон и как строительный материал","","","","","","","","","","","","","","",""
"","Glassworking Table","","","","","","","","Верстак для работы со стеклом","","","","","","","","","","","","","","",""
"","A Table Used To Create Stained Glass.","","","","","","","","Верстак для создания разных видов окон и стёкол","","","","","","","","","","","","","","",""
"","Frame","","","","","","","","Маленькая рама","","","","","","","","","","","","","","",""
"","Frames","","","","","","","","Маленькие рамы","","","","","","","","","","","","","","",""
"","A Small Frame For Stained Glass.","","","","","","","","Маленькая рама для окна","","","","","","","","","","","","","","",""
"","Long Frame","","","","","","","","Широкая рама","","","","","","","","","","","","","","",""
"","Long Frames","","","","","","","","Широкие рамы","","","","","","","","","","","","","","",""
"","A Wide Frame For Stained Glass","","","","","","","","Широкая рама для окна","","","","","","","","","","","","","","",""
"","Frame - Long","","","","","","","","Широкая рама","","","","","","","","","","","","","","",""
"","Large Frame","","","","","","","","Большая рама","","","","","","","","","","","","","","",""
"","Large Frames","","","","","","","","Большые рамы","","","","","","","","","","","","","","",""
"","A Large Frame For Stained Glass.","","","","","","","","Большая рама для окна","","","","","","","","","","","","","","",""
"","Frame - Large","","","","","","","","Большая рама","","","","","","","","","","","","","","",""
"","Tall Frame","","","","","","","","Высокая рама","","","","","","","","","","","","","","",""
"","Tall Frames","","","","","","","","Высокие рамы","","","","","","","","","","","","","","",""
"","A Tall Frame For Stained Glass.","","","","","","","","Высокая рама для окна","","","","","","","","","","","","","","",""
"","Frame - Tall","","","","","","","","Высокая рама","","","","","","","","","","","","","","",""
"","Large Stained Glass","","","","","","","","Большое окно","","","","","","","","","","","","","","",""
"","A 2x2 Decorative Stained Glass Window.","","","","","","","","2x2 Большое окно в раме","","","","","","","","","","","","","","",""
"","Large Blue Stained Glass","","","","","","","","Большое синее окно","","","","","","","","","","","","","","",""
"","Decorative 2x2 Large Blue Stained Glass Window","","","","","","","","2x2 Большое окно в раме","","","","","","","","","","","","","","",""
"","Large Stained Glass - Blue","","","","","","","","Большое синее окно","","","","","","","","","","","","","","",""
"","Large Black Stained Glass","","","","","","","","Большое чёрное окно","","","","","","","","","","","","","","",""
"","Decorative 2x2 Large Black Stained Glass Window.","","","","","","","","2x2 Большое окно в раме","","","","","","","","","","","","","","",""
"","Large Stained Glass - Black","","","","","","","","Большое чёрное окно","","","","","","","","","","","","","","",""
"","Large Brown Stained Glass","","","","","","","","Большое коричневое окно","","","","","","","","","","","","","","",""
"","Decorative 2x2 Large Brown Stained Glass Window.","","","","","","","","2x2 Большое окно в раме","","","","","","","","","","","","","","",""
"","Large Stained Glass - Brown","","","","","","","","Большое коричневое окно","","","","","","","","","","","","","","",""
"","Large Green Stained Glass","","","","","","","","Большое зелёное окно","","","","","","","","","","","","","","",""
"","Decorative 2x2 Large Green Stained Glass Window.","","","","","","","","2x2 Большое окно в раме","","","","","","","","","","","","","","",""
"","Large Stained Glass - Green","","","","","","","","Большое зелёное окно","","","","","","","","","","","","","","",""
"","Large Orange Stained Glass","","","","","","","","Большое оранжевое окно","","","","","","","","","","","","","","",""
"","Decorative 2x2 Large Orange Stained Glass Window.","","","","","","","","2x2 Большое окно в раме","","","","","","","","","","","","","","",""
"","Large Stained Glass - Orange","","","","","","","","Большое оранжевое окно","","","","","","","","","","","","","","",""
"","Large Purple Stained Glass","","","","","","","","Большое фиолетовое окно","","","","","","","","","","","","","","",""
"","Decorative 2x2 Large Purple Stained Glass Window.","","","","","","","","2x2 Большое окно в раме","","","","","","","","","","","","","","",""
"","Large Stained Glass - Purple","","","","","","","","Большое фиолетовое окно","","","","","","","","","","","","","","",""
"","Large Red Stained Glass","","","","","","","","Большое красное окно","","","","","","","","","","","","","","",""
"","Decorative 2x2 Large Red Stained Glass Window.","","","","","","","","2x2 Большое окно в раме","","","","","","","","","","","","","","",""
"","Large Stained Glass - Red","","","","","","","","Большое красное окно","","","","","","","","","","","","","","",""
"","Large Yellow Stained Glass","","","","","","","","Большое жёлтое окно","","","","","","","","","","","","","","",""
"","Decorative 2x2 Large Yellow Stained Glass Window.","","","","","","","","2x2 Большое окно в раме","","","","","","","","","","","","","","",""
"","Large Stained Glass - Yellow","","","","","","","","Большое жёлтое окно","","","","","","","","","","","","","","",""
"","Tall Stained Glass","","","","","","","","Высокое окно","","","","","","","","","","","","","","",""
"","A 1x2 Decorative Stained Glass Window.","","","","","","","","1х2 Высокое окно в раме","","","","","","","","","","","","","","",""
"","Tall Blue Stained Glass","","","","","","","","Высокое синее окно","","","","","","","","","","","","","","",""
"","Decorative 1x2 Tall Blue Stained Glass Window.","","","","","","","","1х2 Высокое окно в раме","","","","","","","","","","","","","","",""
"","Tall Stained Glass - Blue","","","","","","","","Высокое синее окно","","","","","","","","","","","","","","",""
"","Tall Black Stained Glass","","","","","","","","Высокое чёрное окно","","","","","","","","","","","","","","",""
"","Decorative 1x2 Tall Black Stained Glass Window.","","","","","","","","1х2 Высокое окно в раме","","","","","","","","","","","","","","",""
"","Tall Stained Glass - Black","","","","","","","","Высокое чёрное окно","","","","","","","","","","","","","","",""
"","Tall Brown Stained Glass","","","","","","","","Высокое коричневое окно","","","","","","","","","","","","","","",""
"","Decorative 1x2 Tall Brown Stained Glass Window.","","","","","","","","1х2 Высокое окно в раме","","","","","","","","","","","","","","",""
"","Tall Stained Glass - Brown","","","","","","","","Высокое коричневое окно","","","","","","","","","","","","","","",""
"","Tall Green Stained Glass","","","","","","","","Высокое зелёное окно","","","","","","","","","","","","","","",""
